Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Revenue
54,"Friday, Jun 1",boxscore,NYY,@,BAL,W,4,1,,36-18,2,1,Gray,Cashner,Chapman,3:03,N,"26,500",1261930
55,"Saturday, Jun 2",boxscore,NYY,@,BAL,W,8,5,,37-18,2,1,Tanaka,Gausman,,3:31,D,"32,823",1563031.26
56,"Monday, Jun 4 (1)",boxscore,NYY,@,DET,W,7,4,,38-18,2,1.5,Severino,VerHagen,Chapman,2:46,D,"28,016",1334121.92
57,"Monday, Jun 4 (2)",boxscore,NYY,@,DET,L,2,4,,38-19,2,1.5,Fiers,German,Greene,3:07,N,"24,165",1150737.3
58,"Tuesday, Jun 5",boxscore,NYY,@,TOR,W,7,2,,39-19,2,1.5,Sabathia,Oh,,2:38,N,"29,308",1395646.96
59,"Wednesday, Jun 6",boxscore,NYY,@,TOR,W,3,0,13,40-19,2,1.5,Robertson,Biagini,Chapman,3:41,N,"27,838",1325645.56
60,"Friday, Jun 8",boxscore,NYY,@,NYM,W,4,1,,41-19,1,Tied,Green,deGrom,Chapman,2:28,N,"42,961",2045802.82
61,"Saturday, Jun 9",boxscore,NYY,@,NYM,W,4,3,,42-19,1,Tied,Robertson,Swarzak,Chapman,2:57,N,"43,603",2076374.86
62,"Sunday, Jun 10",boxscore,NYY,@,NYM,L,0,2,,42-20,1,Tied,Lugo,Severino,Swarzak,2:40,N,"36,171",1722463.02
63,"Tuesday, Jun 12",boxscore,NYY,,WSN,W,3,0,,43-20,2,0.5,Sabathia,Roark,Chapman,2:48,N,"44,220",2105756.4
64,"Wednesday, Jun 13",boxscore,NYY,,WSN,L,4,5,,43-21,2,1.5,Miller,Shreve,Doolittle,3:18,N,"45,030",2144328.6
65,"Thursday, Jun 14",boxscore,NYY,,TBR,W,4,3,,44-21,2,1.5,German,Snell,Chapman,2:49,N,"45,066",2146042.92
66,"Friday, Jun 15",boxscore,NYY,,TBR,W,5,0,,45-21,2,0.5,Loaisiga,Eovaldi,,2:44,N,"45,112",2148233.44
67,"Saturday, Jun 16",boxscore,NYY,,TBR,W,4,1,,46-21,1,up 0.5,Severino,Yarbrough,Chapman,2:47,D,"46,249",2202377.38
68,"Sunday, Jun 17",boxscore,NYY,,TBR,L,1,3,,46-22,2,0.5,Roe,Sabathia,Romo,2:45,D,"46,400",2209568
69,"Monday, Jun 18",boxscore,NYY,@,WSN,W,4,2,,47-22,1,Tied,Gray,Fedde,Chapman,3:26,N,"42,723",2034469.26
70,"Tuesday, Jun 19",boxscore,NYY,,SEA,W,7,2,,48-22,1,up 1.0,German,Gonzales,,2:28,N,"45,122",2148709.64
71,"Wednesday, Jun 20",boxscore,NYY,,SEA,W-wo,7,5,,49-22,1,up 2.0,Chapman,Cook,,3:28,N,"46,047",2192758.14
72,"Thursday, Jun 21",boxscore,NYY,,SEA,W,4,3,,50-22,1,up 2.0,Severino,Paxton,Chapman,2:51,D,"46,658",2221853.96
73,"Friday, Jun 22",boxscore,NYY,@,TBR,L,1,2,,50-23,1,up 1.0,Yarbrough,Sabathia,Romo,3:08,N,"27,252",1297740.24
74,"Saturday, Jun 23",boxscore,NYY,@,TBR,L,0,4,,50-24,1,up 1.0,Font,Gray,,2:39,D,"29,831",1420552.22
75,"Sunday, Jun 24",boxscore,NYY,@,TBR,L-wo,6,7,12,50-25,1,Tied,Yarbrough,Shreve,,4:16,D,"23,667",1127022.54
76,"Monday, Jun 25",boxscore,NYY,@,PHI,W,4,2,,51-25,1,up 0.5,Loaisiga,Velasquez,Chapman,3:20,N,"44,136",2101756.32
77,"Tuesday, Jun 26",boxscore,NYY,@,PHI,W,6,0,,52-25,1,up 0.5,Severino,Arrieta,,2:38,N,"43,568",2074708.16
78,"Wednesday, Jun 27",boxscore,NYY,@,PHI,L,0,3,,52-26,2,0.5,Eflin,Cessa,Dominguez,2:43,N,"42,028",2001373.36
79,"Friday, Jun 29",boxscore,NYY,,BOS,W,8,1,,53-26,1,Tied,Sabathia,Rodriguez,,2:41,N,"47,120",2243854.4
80,"Saturday, Jun 30",boxscore,NYY,,BOS,L,0,11,,53-27,2,1,Sale,Gray,,3:17,N,"47,125",2244092.5
81,"Sunday, Jul 1",boxscore,NYY,,BOS,W,11,1,,54-27,1,Tied,Severino,Price,,3:14,N,"46,795",2228377.9
82,"Monday, Jul 2",boxscore,NYY,,ATL,L,3,5,11,54-28,2,1,Biddle,Robertson,Minter,3:53,N,"43,792",2085375.04
83,"Tuesday, Jul 3",boxscore,NYY,,ATL,W,8,5,,55-28,2,1,Cole,Newcomb,Chapman,3:46,N,"45,448",2164233.76
84,"Wednesday, Jul 4",boxscore,NYY,,ATL,W,6,2,,56-28,2,1,Sabathia,Teheran,,3:07,D,"46,658",2221853.96
85,"Friday, Jul 6",boxscore,NYY,@,TOR,L,2,6,,56-29,2,2,Biagini,Gray,,3:07,N,"37,254",1774035.48
86,"Saturday, Jul 7",boxscore,NYY,@,TOR,W,8,5,,57-29,2,2,Severino,Happ,,3:31,D,"44,352",2112042.24
87,"Sunday, Jul 8",boxscore,NYY,@,TOR,W,2,1,10,58-29,2,2,Green,Clippard,Robertson,2:51,D,"39,866",1898418.92
89,"Monday, Jul 9 (2)",boxscore,NYY,@,BAL,W,10,2,,59-30,2,2.5,Cessa,Ramirez,Gallegos,3:13,N,"26,340",1254310.8
90,"Tuesday, Jul 10",boxscore,NYY,@,BAL,L-wo,5,6,,59-31,2,3.5,Britton,Betances,,3:07,N,"18,418",877065.16
91,"Wednesday, Jul 11",boxscore,NYY,@,BAL,W,9,0,,60-31,2,3.5,Gray,Bundy,,3:22,N,"17,808",848016.96
92,"Thursday, Jul 12",boxscore,NYY,@,CLE,W,7,4,,61-31,2,3.5,Robertson,Kluber,Chapman,3:07,N,"31,267",1488934.54
93,"Friday, Jul 13",boxscore,NYY,@,CLE,L,5,6,,61-32,2,3.5,Bieber,German,Allen,2:59,N,"35,078",1670414.36
94,"Saturday, Jul 14",boxscore,NYY,@,CLE,W,5,4,,62-32,2,3.5,Robertson,Clevinger,Chapman,3:10,N,"35,353",1683509.86
95,"Sunday, Jul 15",boxscore,NYY,@,CLE,L,2,5,,62-33,2,4.5,Carrasco,Green,Allen,2:52,D,"32,644",1554507.28
96,"Friday, Jul 20",boxscore,NYY,,NYM,L,5,7,,62-34,2,5.5,Syndergaard,German,Gsellman,3:46,N,"47,175",2246473.5
97,"Saturday, Jul 21",boxscore,NYY,,NYM,W,7,6,,63-34,2,4.5,Gray,Matz,Shreve,3:01,D,"47,102",2242997.24
98,"Monday, Jul 23",boxscore,NYY,@,TBR,L,6,7,,63-35,2,6,Andriese,Severino,Alvarado,3:26,N,"14,670",698585.4
99,"Tuesday, Jul 24",boxscore,NYY,@,TBR,W,4,0,,64-35,2,5,Tanaka,Chirinos,,2:37,N,"19,579",932351.98
100,"Wednesday, Jul 25",boxscore,NYY,@,TBR,L,2,3,,64-36,2,5.5,Castillo,Cessa,Romo,2:46,D,"27,372",1303454.64
101,"Thursday, Jul 26",boxscore,NYY,,KCR,W,7,2,,65-36,2,4.5,Gray,Junis,,2:58,N,"46,965",2236473.3
102,"Saturday, Jul 28 (1)",boxscore,NYY,,KCR,L,5,10,,65-37,2,5.5,Keller,Severino,,3:06,D,"46,571",2217711.02
103,"Saturday, Jul 28 (2)",boxscore,NYY,,KCR,W,5,4,,66-37,2,5.5,Betances,Flynn,Chapman,3:27,N,"45,043",2144947.66
104,"Sunday, Jul 29",boxscore,NYY,,KCR,W,6,3,,67-37,2,5.5,Happ,Smith,Chapman,2:51,D,"46,192",2199663.04
105,"Tuesday, Jul 31",boxscore,NYY,,BAL,W,6,3,,68-37,2,5,Tanaka,Ramirez,Chapman,3:11,N,"46,473",2213044.26
106,"Wednesday, Aug 1",boxscore,NYY,,BAL,L,5,7,,68-38,2,5.5,Cobb,Gray,,3:08,D,"47,206",2247949.72
107,"Thursday, Aug 2",boxscore,NYY,@,BOS,L,7,15,,68-39,2,6.5,Johnson,Holder,,3:25,N,"37,317",1777035.54
108,"Friday, Aug 3",boxscore,NYY,@,BOS,L,1,4,,68-40,2,7.5,Porcello,Severino,,2:15,N,"37,231",1772940.22
109,"Saturday, Aug 4",boxscore,NYY,@,BOS,L,1,4,,68-41,2,8.5,Eovaldi,Adams,,2:33,D,"36,699",1747606.38
110,"Sunday, Aug 5",boxscore,NYY,@,BOS,L-wo,4,5,10,68-42,2,9.5,Barnes,Holder,,4:39,N,"37,830",1801464.6
111,"Monday, Aug 6",boxscore,NYY,@,CHW,W,7,0,,69-42,2,9,Lynn,Covey,,2:59,N,"22,084",1051640.08
112,"Tuesday, Aug 7",boxscore,NYY,@,CHW,W,4,3,13,70-42,2,9,Gray,Avilan,,4:26,N,"19,643",935399.66
113,"Wednesday, Aug 8",boxscore,NYY,@,CHW,W,7,3,,71-42,2,9,Severino,Giolito,,3:05,N,"27,038",1287549.56
114,"Thursday, Aug 9",boxscore,NYY,,TEX,W,7,3,,72-42,2,8,Happ,Jurado,,2:31,N,"43,455",2069327.1
115,"Friday, Aug 10",boxscore,NYY,,TEX,L,7,12,,72-43,2,9,Minor,Tanaka,,3:34,N,"45,198",2152328.76
116,"Saturday, Aug 11",boxscore,NYY,,TEX,W,5,3,,73-43,2,9.5,Betances,Martin,Chapman,3:16,D,"45,933",2187329.46
117,"Sunday, Aug 12",boxscore,NYY,,TEX,W,7,2,,74-43,2,9.5,Sabathia,Perez,,2:59,D,"41,304",1966896.48
118,"Monday, Aug 13",boxscore,NYY,,NYM,L,5,8,,74-44,2,10,deGrom,Severino,Gsellman,3:18,N,"47,233",2249235.46
119,"Tuesday, Aug 14",boxscore,NYY,,TBR,W,4,1,,75-44,2,10,Happ,Wood,Chapman,2:32,N,"40,393",1923514.66
120,"Wednesday, Aug 15",boxscore,NYY,,TBR,L,1,6,,75-45,2,10,Yarbrough,Cessa,,3:17,N,"42,716",2034135.92
121,"Thursday, Aug 16",boxscore,NYY,,TBR,L,1,3,,75-46,2,10.5,Snell,Tanaka,Kolarek,3:22,D,"41,033",1953991.46
122,"Friday, Aug 17",boxscore,NYY,,TOR,W,7,5,7,76-46,2,10.5,Green,Biagini,Robertson,2:32,N,"42,121",2005802.02
123,"Saturday, Aug 18",boxscore,NYY,,TOR,W,11,6,,77-46,2,10.5,Severino,Reid-Foley,,3:29,D,"44,778",2132328.36
124,"Sunday, Aug 19",boxscore,NYY,,TOR,W,10,2,,78-46,2,9.5,Happ,Borucki,,3:18,D,"43,176",2056041.12
125,"Tuesday, Aug 21",boxscore,NYY,@,MIA,W,2,1,12,79-46,2,8,Cole,Guerra,Kahnle,4:14,N,"26,275",1251215.5
126,"Wednesday, Aug 22",boxscore,NYY,@,MIA,L,3,9,,79-47,2,9,Garcia,Lynn,,3:25,N,"25,547",1216548.14
127,"Friday, Aug 24",boxscore,NYY,@,BAL,W,7,5,10,80-47,2,8.5,Green,Carroll,Britton,3:29,N,"27,150",1292883
128,"Saturday, Aug 25 (1)",boxscore,NYY,@,BAL,W,10,3,,81-47,2,7,Happ,Yacabonis,Cessa,3:06,D,"32,445",1545030.9
129,"Saturday, Aug 25 (2)",boxscore,NYY,@,BAL,W,5,1,,82-47,2,7,Gray,Cashner,Betances,2:50,N,"26,236",1249358.32
130,"Sunday, Aug 26",boxscore,NYY,@,BAL,W,5,3,,83-47,2,6,Severino,Bundy,Robertson,3:18,N,"17,343",825873.66
131,"Monday, Aug 27",boxscore,NYY,,CHW,L,2,6,,83-48,2,6.5,Rodon,Tanaka,,3:02,N,"41,456",1974134.72
132,"Tuesday, Aug 28",boxscore,NYY,,CHW,W-wo,5,4,,84-48,2,6.5,Betances,Covey,,3:03,N,"40,015",1905514.3
133,"Wednesday, Aug 29",boxscore,NYY,,CHW,L,1,4,,84-49,2,7.5,Lopez,Sabathia,Fry,2:55,N,"40,887",1947038.94
134,"Thursday, Aug 30",boxscore,NYY,,DET,L,7,8,,84-50,2,8.5,Wilson,Betances,Greene,3:32,N,"37,195",1771225.9
135,"Friday, Aug 31",boxscore,NYY,,DET,W,7,5,,85-50,2,7.5,Britton,Jimenez,Robertson,3:10,N,"41,026",1953658.12
136,"Saturday, Sep 1",boxscore,NYY,,DET,W,2,1,,86-50,2,7.5,Tanaka,Norris,Betances,3:00,D,"42,816",2038897.92
137,"Sunday, Sep 2",boxscore,NYY,,DET,L,7,11,,86-51,2,7.5,Boyd,Lynn,,3:41,D,"43,721",2081994.02
138,"Monday, Sep 3",boxscore,NYY,@,OAK,L,3,6,,86-52,2,8.5,Cahill,Sabathia,Treinen,3:04,D,"40,546",1930800.52
139,"Tuesday, Sep 4",boxscore,NYY,@,OAK,W,5,1,,87-52,2,8.5,Robertson,Rodney,,3:12,N,"17,536",835064.32
140,"Wednesday, Sep 5",boxscore,NYY,@,OAK,L,2,8,,87-53,2,9.5,Fiers,Severino,,2:53,N,"21,004",1000210.48
141,"Friday, Sep 7",boxscore,NYY,@,SEA,W,4,0,,88-53,2,8.5,Tanaka,Paxton,,2:32,N,"32,195",1533125.9
142,"Saturday, Sep 8",boxscore,NYY,@,SEA,W,4,2,,89-53,2,7.5,Lynn,Vincent,Betances,2:49,N,"38,733",1844465.46
143,"Sunday, Sep 9",boxscore,NYY,@,SEA,L,2,3,,89-54,2,8.5,Colome,Betances,Diaz,3:05,D,"34,917",1662747.54
144,"Monday, Sep 10",boxscore,NYY,@,MIN,W,7,2,,90-54,2,8,Happ,Gibson,,3:39,N,"21,565",1026925.3
145,"Tuesday, Sep 11",boxscore,NYY,@,MIN,L,5,10,,90-55,2,9,Stewart,Gray,,3:04,N,"20,343",968733.66
146,"Wednesday, Sep 12",boxscore,NYY,@,MIN,L,1,3,,90-56,2,10,Odorizzi,Severino,Hildenberger,2:46,N,"24,134",1149261.08
147,"Friday, Sep 14",boxscore,NYY,,TOR,W,11,0,,91-56,2,9.5,Tanaka,Estrada,Cessa,3:07,N,"40,138",1911371.56
148,"Saturday, Sep 15",boxscore,NYY,,TOR,L,7,8,,91-57,2,10.5,Reid-Foley,Sabathia,Giles,3:54,D,"43,130",2053850.6
149,"Sunday, Sep 16",boxscore,NYY,,TOR,L,2,3,,91-58,2,11.5,Pannone,Betances,Giles,2:50,D,"41,758",1988515.96
150,"Tuesday, Sep 18",boxscore,NYY,,BOS,W,3,2,,92-58,2,10.5,Green,Workman,Britton,3:13,N,"38,695",1842655.9
151,"Wednesday, Sep 19",boxscore,NYY,,BOS,W,10,1,,93-58,2,9.5,Severino,Price,,3:17,N,"43,297",2061803.14
152,"Thursday, Sep 20",boxscore,NYY,,BOS,L,6,11,,93-59,2,10.5,Wright,Green,,4:02,N,"47,351",2254854.62
153,"Friday, Sep 21",boxscore,NYY,,BAL,W,10,8,,94-59,2,10.5,Sabathia,Ramirez,Betances,3:35,N,"39,903",1900180.86
154,"Saturday, Sep 22",boxscore,NYY,,BAL,W-wo,3,2,11,95-59,2,9.5,Kahnle,Fry,,3:53,D,"40,185",1913609.7
155,"Sunday, Sep 23",boxscore,NYY,,BAL,L,3,6,,95-60,2,9.5,Meisinger,Cole,Givens,3:19,D,"43,606",2076517.72
156,"Monday, Sep 24",boxscore,NYY,@,TBR,W,4,1,,96-60,2,9.5,Gray,Yarbrough,Britton,3:01,N,"13,832",658679.84
157,"Tuesday, Sep 25",boxscore,NYY,@,TBR,W,9,2,,97-60,2,9,Severino,Faria,,3:14,N,"10,953",521581.86
158,"Wednesday, Sep 26",boxscore,NYY,@,TBR,L,7,8,,97-61,2,9.5,Chirinos,Tanaka,Romo,3:52,N,"11,325",539296.5
159,"Thursday, Sep 27",boxscore,NYY,@,TBR,W,12,1,,98-61,2,9,Sabathia,Schultz,,2:49,D,"12,349",588059.38
160,"Friday, Sep 28",boxscore,NYY,@,BOS,W,11,6,,99-61,2,8,Happ,Johnson,,3:27,N,"36,779",1751415.98
161,"Saturday, Sep 29",boxscore,NYY,@,BOS,W,8,5,,100-61,2,7,Lynn,Rodriguez,Chapman,3:40,D,"36,375",1732177.5
162,"Sunday, Sep 30",boxscore,NYY,@,BOS,L,2,10,,100-62,2,8,Rodriguez,Cessa,,3:20,D,"36,201",1723891.62
